CODE CULTURE,LIBELLÉ,cat_crops,id
BTH,Blé tendre d’hiver,Blé,1
BTP,Blé tendre de printemps,Blé,1
MID,Maïs doux,Maïs,6
MIE,Maïs ensilage,Maïs,6
MIS,Maïs,Maïs,6
ORH,Orge d'hiver,Orge,8
ORP,Orge de printemps,Orge,8
AVH,Avoine d’hiver,Céréales (autres),4
AVP,Avoine de printemps,Céréales (autres),4
BDH,Blé dur d’hiver,Blé,1
BDP,Blé dur de printemps,Blé,1
BDT,"Blé dur de printemps semé tardivement (après
 le 31/05)",Blé,1
CAG,Autre céréale d’un autre genre,Céréales (autres),4
CGF,Autre céréale de genre Fagopyrum,Céréales (autres),4
CGH,Autre céréale de genre Phalaris,Céréales (autres),4
CGO,Autre céréale de genre Sorghum,Céréales (autres),4
CGP,Autre céréale de genre Panicum,Céréales (autres),4
CGS,Autre céréale de genre Setaria,Céréales (autres),4
CHA,Autre céréale d’hiver de genre Avena,Céréales (autres),4
CHH,Autre céréale d’hiver de genre Hordeum,Céréales (autres),4
CHS,Autre céréale d’hiver de genre Secale,Céréales (autres),4
CHT,Autre céréale d’hiver de genre Triticum,Céréales (autres),4
CPA,"Autre céréale de
 printemps de genre Avena",Céréales (autres),4
CPH,Autre céréale de printemps de genre Hordeum,Céréales (autres),4
CPS,Autre céréale de printemps de genre Secale,Céréales (autres),4
CPT,"Autre céréale de
 printemps de genre Triticum",Céréales (autres),4
CPZ,Autre céréale de printemps de genre Zea,Céréales (autres),4
EPE,Épeautre,Céréales (autres),4
MCR,Mélange de céréales,Céréales (autres),4
MLT,Millet,Céréales (autres),4
SGH,Seigle d’hiver,Céréales (autres),4
SGP,Seigle de printemps,Céréales (autres),4
SOG,Sorgho,Céréales (autres),4
SRS,Sarrasin,Céréales (autres),4
TTH,Triticale d’hiver,Céréales (autres),4
TTP,Triticale de printemps,Céréales (autres),4
CZH,Colza d’hiver,Colza,3
CZP,Colza de printemps,Colza,3
TRN,Tournesol,Tournesol,12
ARA,Arachide,Oléagineux,7
LIH,Lin non textile d’hiver,Oléagineux,7
LIP,Lin non textile de printemps,Oléagineux,7
MOL,Mélange d’oléagineux,Oléagineux,7
NVE,Navette d’été,Oléagineux,7
NVH,Navette d’hiver,Oléagineux,7
OAG,Autre oléagineux d’un autre genre,Oléagineux,7
OEH,Autre oléagineux d’espèce Helianthus,Oléagineux,7
OEI,Œillette,Oléagineux,7
OHN,Autre oléagineux d’hiver d’espèce Brassica napus,Oléagineux,7
OHR,Autre oléagineux d’hiver d’espèce Brassica rapa,Oléagineux,7
OPN,Autre oléagineux de printemps d’espèce Brassica napus,Oléagineux,7
OPR,Autre oléagineux de printemps d’espèce Brassica rapa,Oléagineux,7
SOJ,Soja,Oléagineux,7
FEV,Fève,Protéagineux,11
FVL,Féverole semée avant le 31/05,Protéagineux,11
FVT,"Féverole semée tardivement (après le
 31/05)",Protéagineux,11
LDH,Lupin doux d’hiver,Protéagineux,11
LDP,Lupin doux de printemps semé avant le 31/05,Protéagineux,11
LDT,Lupin doux de printemps semé tardivement (après le 31/05),Protéagineux,11
MPC,"Mélange de protéagineux (pois et/ou lupin et/ou féverole) prépondérants semés
 avant le 31/05 et de céréales",Protéagineux,11
MPP,Mélange de protéagineux (pois et/ou lupin et/ou féverole),Protéagineux,11
MPT,"Mélange de protéagineux semés tardivement (après le
 31/05)",Protéagineux,11
PAG,Autre protéagineux d’un autre genre,Protéagineux,11
PHI,Pois d’hiver,Protéagineux,11
PPR,Pois de printemps semé avant le 31/05,Protéagineux,11
PPT,Pois de printemps semé tardivement (après le 31/05),Protéagineux,11
CHV,Chanvre,Chanvre,2
LIF,Lin fibres,Oléagineux,7
J5M,Jachère de 5 ans ou moins,Prairie / Jachère,10
J6P,Jachère de 6 ans ou plus,Prairie / Jachère,10
J6S,Jachère de 6 ans ou plus déclarée comme Surface d’intérêt écologique,Prairie / Jachère,10
JNO,Jachère noire,Prairie / Jachère,10
RIZ,Riz,Céréales (autres),4
LEC,Lentille cultivée (non fourragère),Protéagineux,11
PCH,Pois chiche,Protéagineux,11
BVF,Betterave fourragère,Betterave,0
CAF,Carotte fourragère,Légumes,5
CHF,Chou fourrager,Légumes,5
CPL,"Fourrage composé de céréales et/ou de protéagineux (en proportion < 50%) et/ou de légumineuses
 fourragères (en proportion < 50%)",Protéagineux,11
DTY,Dactyle de 5 ans ou moins,Prairie / Jachère,10
FAG,Autre fourrage annuel d’un autre genre,Prairie / Jachère,10
FET,Fétuque de 5 ans ou moins,Prairie / Jachère,10
FF5,"Féverole fourragère
 implantée pour la récolte 2015",Prairie / Jachère,10
FF6,Féverole fourragère implantée pour la récolte 2016,Prairie / Jachère,10
FF7,Féverole fourragère implantée pour la récolte 2017,Prairie / Jachère,10
FF8,Féverole fourragère implantée pour la récolte 2018,Prairie / Jachère,10
FFO,Autre féverole fourragère,Prairie / Jachère,10
FLO,Fléole de 5 ans ou moins,Prairie / Jachère,10
FSG,Autre plante fourragère sarclée d’un autre genre,Prairie / Jachère,10
GAI,Gaillet,Prairie / Jachère,10
GES,Gesse,Protéagineux,11
GFP,Autre graminée fourragère pure de 5 ans ou moins,Prairie / Jachère,10
JO5,Jarosse implantée pour la récolte 2015,Prairie / Jachère,10
JO6,Jarosse implantée pour la récolte 2016,Prairie / Jachère,10
JO7,Jarosse implantée pour la récolte 2017,Prairie / Jachère,10
JO8,Jarosse implantée pour la récolte 2018,Prairie / Jachère,10
JOD,Jarosse déshydratée,Prairie / Jachère,10
JOS,Autre jarosse,Prairie / Jachère,10
LEF,Lentille fourragère,Protéagineux,11
LFH,Autre lupin fourrager d’hiver,Prairie / Jachère,10
LFP,Autre lupin fourrager de printemps,Prairie / Jachère,10
LH5,Lupin fourrager d’hiver implanté pour la récolte 2015,Prairie / Jachère,10
LH6,Lupin fourrager d’hiver implanté pour la récolte 2016,Prairie / Jachère,10
LH7,Lupin fourrager d’hiver implanté pour la récolte 2017,Prairie / Jachère,10
LH8,Lupin fourrager d'hiver implanté pour la récolte 2018,Prairie / Jachère,10
LO7,Lotier implanté pour la récolte 2017,Prairie / Jachère,10
LO8,Lotier implanté pour la récolte 2018,Prairie / Jachère,10
LOT,Lotier,Prairie / Jachère,10
LP5,Lupin fourrager de printemps implanté pour la récolte 2015,Prairie / Jachère,10
LP6,Lupin fourrager de printemps implanté pour la récolte 2016,Prairie / Jachère,10
LP7,Lupin fourrager de printemps implanté pour la récolte 2017,Prairie / Jachère,10
LP8,Lupin fourrager de printemps implanté pour la récolte 2018,Prairie / Jachère,10
LU5,Luzerne implantée pour la récolte 2015,Prairie / Jachère,10
LU6,Luzerne implantée pour la récolte 2016,Prairie / Jachère,10
LU7,Luzerne implantée pour la récolte 2017,Prairie / Jachère,10
LU8,Luzerne implantée pour la récolte 2018,Prairie / Jachère,10
LUD,Luzerne déshydratée,Prairie / Jachère,10
LUZ,Autre luzerne,Prairie / Jachère,10
MC5,"Mélange de légumineuses fourragères prépondérantes au semis implantées pour la
 récolte 2015 et de céréales",Protéagineux,11
MC6,"Mélange de légumineuses fourragères prépondérantes au semis implantées pour la
 récolte 2016 et de céréales",Protéagineux,11
MC7,"Mélange de légumineuses fourragères prépondérantes au semis implantées pour la
 récolte 2017 et de céréales",Protéagineux,11
